componente,variante,n_rainhas,semente,tempo_s,fitness_maximo,fitness_medio,fitness_minimo,geracoes_para_solucao,solucionado
Baseline,Torn.0.80C.0.05M.0.02E,25,4885,3.2118,299,298.94,296,-1,nao
Baseline,Torn.0.80C.0.05M.0.02E,25,37589,3.1522,300,299.82,297,46,sim
Baseline,Torn.0.80C.0.05M.0.02E,25,44559,3.1538,299,298.88,295,-1,nao
Baseline,Torn.0.80C.0.05M.0.02E,25,73178,3.2279,300,299.94,297,38,sim
Baseline,Torn.0.80C.0.05M.0.02E,25,4726,2.6888,300,299.91,297,156,sim
Baseline,Torn.0.80C.0.05M.0.10E,25,23802,3.2808,298,297.89,294,-1,nao
Baseline,Torn.0.80C.0.05M.0.10E,25,6487,2.8421,298,297.97,295,-1,nao
Baseline,Torn.0.80C.0.05M.0.10E,25,86440,3.3007,297,296.90,293,-1,nao
Baseline,Torn.0.80C.0.05M.0.10E,25,96933,3.2722,299,298.95,296,-1,nao
Baseline,Torn.0.80C.0.05M.0.10E,25,94935,2.7837,299,298.94,297,-1,nao
Baseline,Torn.0.80C.0.10M.0.02E,25,99540,3.2481,299,298.72,296,-1,nao
Baseline,Torn.0.80C.0.10M.0.02E,25,13321,3.1179,300,299.68,297,36,sim
Baseline,Torn.0.80C.0.10M.0.02E,25,30326,2.7039,299,298.84,296,-1,nao
Baseline,Torn.0.80C.0.10M.0.02E,25,19276,2.9448,299,298.76,295,-1,nao
Baseline,Torn.0.80C.0.10M.0.02E,25,53776,3.4552,300,299.79,297,78,sim
Baseline,Torn.0.80C.0.10M.0.10E,25,24764,2.7515,299,298.88,295,-1,nao
Baseline,Torn.0.80C.0.10M.0.10E,25,22348,2.5263,299,298.79,294,-1,nao
Baseline,Torn.0.80C.0.10M.0.10E,25,62974,2.5969,299,298.80,296,-1,nao
Baseline,Torn.0.80C.0.10M.0.10E,25,71992,2.5820,298,297.85,294,-1,nao
Baseline,Torn.0.80C.0.10M.0.10E,25,47867,2.8274,299,298.78,295,-1,nao
Baseline,Torn.1.00C.0.05M.0.02E,25,99392,2.8489,299,298.93,296,-1,nao
Baseline,Torn.1.00C.0.05M.0.02E,25,12388,2.6852,300,299.83,296,82,sim
Baseline,Torn.1.00C.0.05M.0.02E,25,34212,2.7853,300,299.86,297,49,sim
Baseline,Torn.1.00C.0.05M.0.02E,25,66984,2.7932,300,299.90,296,172,sim
Baseline,Torn.1.00C.0.05M.0.02E,25,94063,2.8415,299,298.87,296,-1,nao
