variacao,n,max_fitness,mean_fitness,min_fitness,gens_to_solve,solved,tempo_execucao
CROSSOVER,10,45,40.26,32,1,True,0.008605480194091797
MUTACAO,10,45,41.27333333333333,35,4,True,0.02118849754333496
SELECAO,10,45,41.406666666666666,32,4,True,0.02141857147216797
ELITISMO,10,45,42.18,37,4,True,0.0333399772644043
CROSSOVER,11,55,53.22,48,7,True,0.06110191345214844
CROSSOVER,12,66,62.16,56,6,True,0.05759716033935547
ELITISMO,11,55,52.27333333333333,46,25,True,0.221510648727417
ELITISMO,12,66,62.16,55,9,True,0.08586788177490234
ELITISMO,13,78,76.64666666666666,69,443,True,4.330214262008667
ELITISMO,14,91,87.12666666666667,77,8,True,0.13194489479064941
CROSSOVER,13,78,76.82666666666667,72,520,True,5.173446893692017
CROSSOVER,14,91,89.86666666666666,86,157,True,1.7620265483856201
MUTACAO,11,54,53.76,46,,False,7.28577733039856
SELECAO,11,54,53.95333333333333,50,,False,7.6511077880859375
CROSSOVER,15,105,103.92666666666666,101,575,True,4.767383575439453
ELITISMO,15,105,102.84,93,860,True,7.290467977523804
ELITISMO,16,120,117.56666666666666,109,16,True,0.12119793891906738
CROSSOVER,16,119,118.92666666666666,116,,False,9.104093551635742
ELITISMO,17,135,134.86,131,,False,9.714995861053467
