component,variant,n,seed,tempo,max_fitness,mean_fitness,min_fitness,gens_to_solve,solved
crossover,ponto_unico,8,0,0.0061435699462890625,28,25.42,19,6,True
crossover,ponto_unico,8,1,0.004000425338745117,28,24.95,20,5,True
crossover,ponto_unico,8,2,0.011850833892822266,28,24.54,20,4,True
crossover,ponto_unico,8,3,0.007000446319580078,28,24.93,20,4,True
crossover,ponto_unico,8,4,0.010080814361572266,28,25.23,19,6,True
crossover,ponto_unico,8,5,0.0010001659393310547,28,23.12,17,0,True
crossover,ponto_unico,8,6,0.0010006427764892578,28,23.26,16,0,True
crossover,ponto_unico,8,7,0.0051915645599365234,28,25.25,21,4,True
crossover,ponto_unico,8,8,0.005997896194458008,28,25.17,18,5,True
crossover,ponto_unico,8,9,0.0019996166229248047,28,24.05,14,1,True
crossover,ponto_unico,16,0,0.10809969902038574,120,118.83,115,43,True
crossover,ponto_unico,16,1,1.259105920791626,119,118.81,115,,False
crossover,ponto_unico,16,2,0.09337973594665527,120,118.77,116,32,True
crossover,ponto_unico,16,3,0.08194446563720703,120,118.74,115,32,True
crossover,ponto_unico,16,4,0.3700244426727295,120,118.77,114,139,True
crossover,ponto_unico,16,5,1.3278136253356934,119,118.72,114,,False
crossover,ponto_unico,16,6,0.07000970840454102,120,118.68,116,22,True
crossover,ponto_unico,16,7,0.025222301483154297,120,114.22,108,7,True
crossover,ponto_unico,16,8,1.1951699256896973,119,118.68,115,,False
crossover,ponto_unico,16,9,1.02201247215271,119,118.74,114,,False
crossover,ponto_unico,32,0,3.567854642868042,495,494.69,491,,False
crossover,ponto_unico,32,1,3.7404143810272217,495,494.76,491,,False
crossover,ponto_unico,32,2,3.6600334644317627,495,494.58,483,,False
crossover,ponto_unico,32,3,3.66029953956604,495,494.74,491,,False
crossover,ponto_unico,32,4,1.0646696090698242,496,493.82,490,143,True
crossover,ponto_unico,32,5,1.1379601955413818,496,494.89,492,154,True
crossover,ponto_unico,32,6,3.7580626010894775,494,493.79,490,,False
crossover,ponto_unico,32,7,3.808819055557251,494,493.53,488,,False
crossover,ponto_unico,32,8,3.6697020530700684,495,494.53,490,,False
crossover,ponto_unico,32,9,3.7160792350769043,495,494.87,491,,False
crossover,ponto_unico,64,0,14.148366928100586,2014,2013.78,2010,,False
crossover,ponto_unico,64,1,13.977529048919678,2013,2012.72,2009,,False
crossover,ponto_unico,64,2,13.813003063201904,2014,2013.94,2012,,False
crossover,ponto_unico,64,3,13.46575379371643,2014,2013.59,2010,,False
crossover,ponto_unico,64,4,13.757692337036133,2015,2014.71,2011,,False
crossover,ponto_unico,64,5,13.817826509475708,2014,2013.35,1996,,False
crossover,ponto_unico,64,6,13.771379470825195,2014,2013.64,2010,,False
crossover,ponto_unico,64,7,13.935257196426392,2015,2014.8,2011,,False
crossover,ponto_unico,64,8,13.657131671905518,2015,2014.78,2011,,False
crossover,ponto_unico,64,9,13.327812671661377,2014,2013.48,2005,,False
crossover,ordem,8,0,0.003000497817993164,28,24.13,19,2,True
crossover,ordem,8,1,0.008001565933227539,28,25.18,17,10,True
crossover,ordem,8,2,0.002999544143676758,28,24.26,19,3,True
crossover,ordem,8,3,0.003000020980834961,28,24.36,17,2,True
crossover,ordem,8,4,0.00400090217590332,28,24.65,19,5,True
crossover,ordem,8,5,0.0009982585906982422,28,23.12,17,0,True
crossover,ordem,8,6,0.0011758804321289062,28,23.26,16,0,True
crossover,ordem,8,7,0.002031087875366211,28,24.11,15,2,True
crossover,ordem,8,8,0.002996683120727539,28,24.9,17,3,True
crossover,ordem,8,9,0.0019998550415039062,28,24.21,19,2,True
crossover,ordem,16,0,0.6710128784179688,120,118.81,115,301,True
crossover,ordem,16,1,1.1378471851348877,119,118.73,115,,False
crossover,ordem,16,2,0.30911850929260254,120,118.68,115,118,True
crossover,ordem,16,3,0.08725285530090332,120,118.81,116,43,True
crossover,ordem,16,4,0.8800466060638428,120,118.82,115,386,True
crossover,ordem,16,5,0.3734855651855469,120,118.72,116,161,True
crossover,ordem,16,6,0.030574560165405273,120,115.03,105,15,True
crossover,ordem,16,7,0.1297452449798584,120,118.25,111,64,True
crossover,ordem,16,8,0.10837864875793457,120,118.58,115,52,True
crossover,ordem,16,9,1.0836246013641357,119,118.66,114,,False
crossover,ordem,32,0,3.6897711753845215,495,494.39,483,,False
crossover,ordem,32,1,1.0464954376220703,496,493.79,491,152,True
crossover,ordem,32,2,0.6485593318939209,496,494.81,490,92,True
crossover,ordem,32,3,3.686030387878418,495,494.84,491,,False
crossover,ordem,32,4,0.7158331871032715,496,494.77,491,93,True
crossover,ordem,32,5,3.7488646507263184,495,494.74,491,,False
crossover,ordem,32,6,3.6598329544067383,495,494.74,491,,False
crossover,ordem,32,7,3.540996789932251,494,493.68,490,,False
crossover,ordem,32,8,3.693511486053467,495,494.69,491,,False
crossover,ordem,32,9,3.6449906826019287,495,494.63,490,,False
crossover,ordem,64,0,13.542506217956543,2015,2014.72,2011,,False
crossover,ordem,64,1,13.31337308883667,2015,2014.78,2011,,False
crossover,ordem,64,2,13.438094854354858,2014,2013.82,2011,,False
crossover,ordem,64,3,14.021756887435913,2014,2013.67,2009,,False
crossover,ordem,64,4,13.551984071731567,2013,2012.77,2010,,False
crossover,ordem,64,5,13.256819725036621,2015,2014.92,2012,,False
crossover,ordem,64,6,13.799473285675049,2015,2014.87,2012,,False
crossover,ordem,64,7,13.386996984481812,2015,2014.84,2011,,False
crossover,ordem,64,8,13.628264427185059,2014,2013.76,2011,,False
crossover,ordem,64,9,13.527310132980347,2014,2013.69,2010,,False
crossover,pmx,8,0,0.0039997100830078125,28,24.76,20,3,True
crossover,pmx,8,1,0.004999637603759766,28,24.8,18,4,True
crossover,pmx,8,2,0.013165712356567383,28,26.51,23,13,True
crossover,pmx,8,3,0.005000114440917969,28,25.02,22,5,True
crossover,pmx,8,4,0.00900411605834961,28,25.19,18,9,True
crossover,pmx,8,5,0.0009963512420654297,28,23.12,17,0,True
crossover,pmx,8,6,0.00099945068359375,28,23.26,16,0,True
crossover,pmx,8,7,0.002000093460083008,28,24.23,17,2,True
crossover,pmx,8,8,0.004000186920166016,28,24.65,20,3,True
crossover,pmx,8,9,0.0019998550415039062,28,24.07,18,1,True
crossover,pmx,16,0,0.09622979164123535,120,117.78,114,42,True
crossover,pmx,16,1,0.48872900009155273,120,118.94,117,171,True
crossover,pmx,16,2,0.11308050155639648,120,118.74,115,32,True
crossover,pmx,16,3,1.1963090896606445,119,118.76,115,,False
crossover,pmx,16,4,0.05499982833862305,120,118.83,116,27,True
crossover,pmx,16,5,1.0724544525146484,119,118.88,115,,False
crossover,pmx,16,6,0.09911751747131348,120,118.85,115,48,True
crossover,pmx,16,7,0.03966784477233887,120,114.08,107,19,True
crossover,pmx,16,8,1.1318798065185547,119,118.68,115,,False
crossover,pmx,16,9,0.11553549766540527,120,118.8,115,50,True
crossover,pmx,32,0,0.39828991889953613,496,494.03,491,49,True
crossover,pmx,32,1,0.9279077053070068,496,494.81,491,123,True
crossover,pmx,32,2,0.27059054374694824,496,493.55,489,38,True
crossover,pmx,32,3,0.3353457450866699,496,494.77,491,50,True
crossover,pmx,32,4,3.6023712158203125,495,494.78,492,,False
crossover,pmx,32,5,1.058239221572876,496,494.88,492,144,True
crossover,pmx,32,6,3.71815824508667,495,494.73,490,,False
crossover,pmx,32,7,0.722482442855835,496,494.85,492,101,True
crossover,pmx,32,8,2.0272343158721924,496,494.75,492,277,True
crossover,pmx,32,9,3.602177143096924,495,494.62,491,,False
crossover,pmx,64,0,13.342658281326294,2015,2014.67,2011,,False
crossover,pmx,64,1,10.041395425796509,2016,2014.84,2011,369,True
crossover,pmx,64,2,9.653423309326172,2016,2014.86,2012,356,True
crossover,pmx,64,3,13.703257083892822,2015,2014.72,2011,,False
crossover,pmx,64,4,13.519174098968506,2014,2013.76,2011,,False
crossover,pmx,64,5,13.481436967849731,2015,2014.86,2011,,False
crossover,pmx,64,6,9.279829263687134,2016,2014.73,2011,346,True
crossover,pmx,64,7,13.281586170196533,2015,2014.83,2011,,False
crossover,pmx,64,8,8.522701263427734,2016,2014.47,2011,310,True
crossover,pmx,64,9,7.025108337402344,2016,2014.58,2011,262,True
crossover,uniforme,8,0,0.003002643585205078,28,24.37,20,2,True
crossover,uniforme,8,1,0.006234645843505859,28,24.67,18,6,True
crossover,uniforme,8,2,0.0019998550415039062,28,23.81,18,1,True
crossover,uniforme,8,3,0.0019996166229248047,28,23.84,18,1,True
crossover,uniforme,8,4,0.0030002593994140625,28,24.04,17,3,True
crossover,uniforme,8,5,0.0009996891021728516,28,23.12,17,0,True
crossover,uniforme,8,6,0.0009999275207519531,28,23.26,16,0,True
crossover,uniforme,8,7,0.003000497817993164,28,24.7,20,3,True
crossover,uniforme,8,8,0.0032875537872314453,28,23.8,20,1,True
crossover,uniforme,8,9,0.003003835678100586,28,23.86,18,1,True
crossover,uniforme,16,0,0.17283082008361816,120,118.81,115,65,True
crossover,uniforme,16,1,0.14411473274230957,120,114.65,109,55,True
crossover,uniforme,16,2,0.24634170532226562,120,118.79,115,64,True
crossover,uniforme,16,3,0.24031424522399902,120,118.81,116,63,True
crossover,uniforme,16,4,0.150177001953125,120,118.77,114,36,True
crossover,uniforme,16,5,0.18836069107055664,120,118.8,115,73,True
crossover,uniforme,16,6,0.08107686042785645,120,117.8,114,29,True
crossover,uniforme,16,7,1.1917428970336914,119,118.88,116,,False
crossover,uniforme,16,8,0.11133837699890137,120,115.83,106,46,True
crossover,uniforme,16,9,1.194990634918213,119,118.85,116,,False
crossover,uniforme,32,0,4.035814523696899,495,494.67,490,,False
crossover,uniforme,32,1,4.106064558029175,495,494.68,491,,False
crossover,uniforme,32,2,3.9375643730163574,495,494.8,491,,False
crossover,uniforme,32,3,0.6295571327209473,496,494.79,491,78,True
crossover,uniforme,32,4,1.107743263244629,496,494.58,487,150,True
crossover,uniforme,32,5,3.7618045806884766,494,493.84,488,,False
crossover,uniforme,32,6,2.271450996398926,496,494.82,491,283,True
crossover,uniforme,32,7,4.121528625488281,495,494.77,492,,False
crossover,uniforme,32,8,4.174985408782959,495,494.72,490,,False
crossover,uniforme,32,9,3.979884147644043,494,493.81,490,,False
crossover,uniforme,64,0,12.906355142593384,2016,2011.16,1987,438,True
crossover,uniforme,64,1,14.741416692733765,2014,2013.66,2010,,False
crossover,uniforme,64,2,14.362253665924072,2015,2014.72,2011,,False
crossover,uniforme,64,3,14.548155784606934,2011,2010.18,1991,,False
crossover,uniforme,64,4,14.371629238128662,2015,2014.73,2011,,False
crossover,uniforme,64,5,14.199840545654297,2016,2014.78,2012,482,True
crossover,uniforme,64,6,14.217262268066406,2015,2014.77,2011,,False
crossover,uniforme,64,7,14.17757248878479,2016,2014.71,2011,494,True
crossover,uniforme,64,8,14.927623987197876,2014,2013.84,2010,,False
crossover,uniforme,64,9,14.488386154174805,2014,2013.85,2011,,False
