component,variant,n,seed,tempo,max_fitness,mean_fitness,min_fitness,gens_to_solve,solved
elitismo,none,8,0,0.0064394474029541016,28,25.42,19,6,True
elitismo,none,8,1,0.003999948501586914,28,24.95,20,5,True
elitismo,none,8,2,0.003999948501586914,28,24.54,20,4,True
elitismo,none,8,3,0.00510716438293457,28,24.93,20,4,True
elitismo,none,8,4,0.006249189376831055,28,25.23,19,6,True
elitismo,none,8,5,0.0010006427764892578,28,23.12,17,0,True
elitismo,none,8,6,0.0,28,23.26,16,0,True
elitismo,none,8,7,0.004181861877441406,28,25.25,21,4,True
elitismo,none,8,8,0.005456686019897461,28,25.17,18,5,True
elitismo,none,8,9,0.0010104179382324219,28,24.05,14,1,True
elitismo,none,16,0,0.10050559043884277,120,118.83,115,43,True
elitismo,none,16,1,1.2119061946868896,119,118.81,115,,False
elitismo,none,16,2,0.0878901481628418,120,118.77,116,32,True
elitismo,none,16,3,0.07475566864013672,120,118.74,115,32,True
elitismo,none,16,4,0.3362138271331787,120,118.77,114,139,True
elitismo,none,16,5,1.252342939376831,119,118.72,114,,False
elitismo,none,16,6,0.05232810974121094,120,118.68,116,22,True
elitismo,none,16,7,0.015189170837402344,120,114.22,108,7,True
elitismo,none,16,8,1.1231915950775146,119,118.68,115,,False
elitismo,none,16,9,1.1185073852539062,119,118.74,114,,False
elitismo,none,32,0,3.7910079956054688,495,494.69,491,,False
elitismo,none,32,1,3.5744292736053467,495,494.76,491,,False
elitismo,none,32,2,3.614469289779663,495,494.58,483,,False
elitismo,none,32,3,3.5104150772094727,495,494.74,491,,False
elitismo,none,32,4,1.0568652153015137,496,493.82,490,143,True
elitismo,none,32,5,1.1700258255004883,496,494.89,492,154,True
elitismo,none,32,6,3.8547024726867676,494,493.79,490,,False
elitismo,none,32,7,3.7202134132385254,494,493.53,488,,False
elitismo,none,32,8,3.63639497756958,495,494.53,490,,False
elitismo,none,32,9,3.610938310623169,495,494.87,491,,False
elitismo,none,64,0,13.831787824630737,2014,2013.78,2010,,False
elitismo,none,64,1,13.776022911071777,2013,2012.72,2009,,False
elitismo,none,64,2,13.45612359046936,2014,2013.94,2012,,False
elitismo,none,64,3,13.777268409729004,2014,2013.59,2010,,False
elitismo,none,64,4,13.87859559059143,2015,2014.71,2011,,False
elitismo,none,64,5,14.187173843383789,2014,2013.35,1996,,False
elitismo,none,64,6,13.651560306549072,2014,2013.64,2010,,False
elitismo,none,64,7,13.849388360977173,2015,2014.8,2011,,False
elitismo,none,64,8,13.730034589767456,2015,2014.78,2011,,False
elitismo,none,64,9,13.767404556274414,2014,2013.48,2005,,False
elitismo,fixo,8,0,0.011001825332641602,28,26.25,22,11,True
elitismo,fixo,8,1,0.04754471778869629,28,26.75,24,45,True
elitismo,fixo,8,2,0.0064318180084228516,28,25.41,19,6,True
elitismo,fixo,8,3,0.004998922348022461,28,25.1,19,4,True
elitismo,fixo,8,4,0.004000663757324219,28,25.09,20,4,True
elitismo,fixo,8,5,0.0011286735534667969,28,23.12,17,0,True
elitismo,fixo,8,6,0.0010271072387695312,28,23.26,16,0,True
elitismo,fixo,8,7,0.006086826324462891,28,25.51,17,6,True
elitismo,fixo,8,8,0.0029985904693603516,28,24.83,18,3,True
elitismo,fixo,8,9,0.002000570297241211,28,24.1,14,1,True
elitismo,fixo,16,0,0.04610705375671387,120,118.24,113,19,True
elitismo,fixo,16,1,1.1091041564941406,119,118.81,113,,False
elitismo,fixo,16,2,1.1180591583251953,119,118.75,116,,False
elitismo,fixo,16,3,1.0731232166290283,119,118.76,115,,False
elitismo,fixo,16,4,1.063244342803955,119,118.76,114,,False
elitismo,fixo,16,5,0.04415559768676758,120,118.8,115,22,True
elitismo,fixo,16,6,1.0378894805908203,119,118.84,115,,False
elitismo,fixo,16,7,1.0115165710449219,119,118.64,116,,False
elitismo,fixo,16,8,1.1486577987670898,119,118.75,115,,False
elitismo,fixo,16,9,0.055246829986572266,120,118.59,108,21,True
elitismo,fixo,32,0,3.643491744995117,495,494.76,491,,False
elitismo,fixo,32,1,0.7808609008789062,496,494.85,491,106,True
elitismo,fixo,32,2,3.6366078853607178,495,494.77,491,,False
elitismo,fixo,32,3,3.6671717166900635,495,494.82,492,,False
elitismo,fixo,32,4,3.7697603702545166,495,494.77,492,,False
elitismo,fixo,32,5,3.6735033988952637,495,494.82,492,,False
elitismo,fixo,32,6,0.7468059062957764,496,494.78,491,108,True
elitismo,fixo,32,7,3.60343599319458,495,494.42,490,,False
elitismo,fixo,32,8,3.5432381629943848,494,493.7,490,,False
elitismo,fixo,32,9,3.6726531982421875,495,494.7,491,,False
elitismo,fixo,64,0,11.060078144073486,2016,2014.81,2012,418,True
elitismo,fixo,64,1,13.74781847000122,2015,2014.85,2012,,False
elitismo,fixo,64,2,13.430966854095459,2015,2014.77,2011,,False
elitismo,fixo,64,3,13.466607570648193,2015,2014.78,2011,,False
elitismo,fixo,64,4,13.261512279510498,2015,2014.7,2011,,False
elitismo,fixo,64,5,13.436230182647705,2015,2014.88,2012,,False
elitismo,fixo,64,6,13.475724935531616,2015,2014.66,2011,,False
elitismo,fixo,64,7,13.40704607963562,2013,2012.78,2009,,False
elitismo,fixo,64,8,13.68888258934021,2015,2014.85,2011,,False
elitismo,fixo,64,9,13.70749306678772,2014,2013.82,2010,,False
elitismo,percentual,8,0,0.006001472473144531,28,26.24,23,7,True
elitismo,percentual,8,1,0.0029993057250976562,28,24.58,20,2,True
elitismo,percentual,8,2,0.0029997825622558594,28,25.5,20,4,True
elitismo,percentual,8,3,0.003999948501586914,28,24.85,19,3,True
elitismo,percentual,8,4,0.003999948501586914,28,25.97,20,4,True
elitismo,percentual,8,5,0.0,28,23.12,17,0,True
elitismo,percentual,8,6,0.0010030269622802734,28,23.26,16,0,True
elitismo,percentual,8,7,0.008999347686767578,28,25.61,20,10,True
elitismo,percentual,8,8,0.0029976367950439453,28,25.05,20,3,True
elitismo,percentual,8,9,0.002000093460083008,28,24.25,14,1,True
elitismo,percentual,16,0,0.24117541313171387,120,118.27,111,116,True
elitismo,percentual,16,1,1.0091464519500732,119,118.77,115,,False
elitismo,percentual,16,2,0.17545223236083984,120,118.83,116,92,True
elitismo,percentual,16,3,0.9905390739440918,119,118.8,115,,False
elitismo,percentual,16,4,0.6998591423034668,120,118.77,115,373,True
elitismo,percentual,16,5,0.02731776237487793,120,116.59,109,12,True
elitismo,percentual,16,6,0.04018664360046387,120,117.84,115,19,True
elitismo,percentual,16,7,1.0608246326446533,119,118.82,116,,False
elitismo,percentual,16,8,0.06036067008972168,120,117.87,109,29,True
elitismo,percentual,16,9,0.036164283752441406,120,118.74,115,17,True
elitismo,percentual,32,0,3.5443499088287354,495,494.8,491,,False
elitismo,percentual,32,1,3.20378041267395,495,494.81,492,,False
elitismo,percentual,32,2,3.407388687133789,495,494.73,490,,False
elitismo,percentual,32,3,1.4594666957855225,496,494.76,491,211,True
elitismo,percentual,32,4,3.3287312984466553,495,494.52,487,,False
elitismo,percentual,32,5,3.427241086959839,495,494.8,491,,False
elitismo,percentual,32,6,3.371476888656616,494,493.89,490,,False
elitismo,percentual,32,7,0.9642763137817383,496,494.79,491,135,True
elitismo,percentual,32,8,0.3939499855041504,496,494.57,487,57,True
elitismo,percentual,32,9,3.272658348083496,495,494.8,491,,False
elitismo,percentual,64,0,12.483577489852905,2013,2012.81,2009,,False
elitismo,percentual,64,1,12.330274820327759,2013,2012.82,2009,,False
elitismo,percentual,64,2,12.4753098487854,2013,2012.6,2003,,False
elitismo,percentual,64,3,6.1163012981414795,2016,2014.75,2011,241,True
elitismo,percentual,64,4,12.972207069396973,2015,2014.74,2011,,False
elitismo,percentual,64,5,12.402848482131958,2015,2014.89,2012,,False
elitismo,percentual,64,6,12.527671813964844,2013,2012.82,2009,,False
elitismo,percentual,64,7,12.272219896316528,2014,2013.91,2011,,False
elitismo,percentual,64,8,12.600824117660522,2013,2012.54,1994,,False
elitismo,percentual,64,9,12.123970031738281,2014,2013.8,2010,,False
elitismo,threshold,8,0,0.011143684387207031,27,22.76,17,,False
elitismo,threshold,8,1,0.010999917984008789,27,22.64,13,,False
elitismo,threshold,8,2,0.011188507080078125,27,22.98,12,,False
elitismo,threshold,8,3,0.01100015640258789,26,23.29,16,,False
elitismo,threshold,8,4,0.010250091552734375,27,22.81,14,,False
elitismo,threshold,8,5,0.0010139942169189453,28,23.12,17,0,True
elitismo,threshold,8,6,0.0009987354278564453,28,23.26,16,0,True
elitismo,threshold,8,7,0.011000394821166992,27,22.86,12,,False
elitismo,threshold,8,8,0.010999679565429688,27,22.8,18,,False
elitismo,threshold,8,9,0.010396480560302734,27,23.13,17,,False
elitismo,threshold,16,0,0.012002229690551758,117,109.88,103,,False
elitismo,threshold,16,1,0.013030052185058594,116,109.24,86,,False
elitismo,threshold,16,2,0.01800227165222168,117,110.03,100,,False
elitismo,threshold,16,3,0.012998580932617188,116,109.62,99,,False
elitismo,threshold,16,4,0.011997461318969727,118,109.58,98,,False
elitismo,threshold,16,5,0.012999534606933594,115,109.34,95,,False
elitismo,threshold,16,6,0.012000322341918945,116,110.18,98,,False
elitismo,threshold,16,7,0.013000011444091797,115,109.88,101,,False
elitismo,threshold,16,8,0.012002229690551758,117,109.3,98,,False
elitismo,threshold,16,9,0.018000125885009766,116,109.97,102,,False
elitismo,threshold,32,0,0.0189971923828125,483,474.33,462,,False
elitismo,threshold,32,1,0.026283740997314453,485,474.87,455,,False
elitismo,threshold,32,2,0.018000125885009766,483,475.27,464,,False
elitismo,threshold,32,3,0.01904129981994629,483,474.67,461,,False
elitismo,threshold,32,4,0.0190427303314209,483,474.76,460,,False
elitismo,threshold,32,5,0.018174409866333008,484,474.85,461,,False
elitismo,threshold,32,6,0.018303394317626953,483,474.65,457,,False
elitismo,threshold,32,7,0.018000364303588867,484,475.53,461,,False
elitismo,threshold,32,8,0.01815176010131836,485,475.38,466,,False
elitismo,threshold,32,9,0.01847219467163086,486,474.51,460,,False
elitismo,threshold,64,0,0.04265260696411133,1988,1973.57,1958,,False
elitismo,threshold,64,1,0.04052615165710449,1986,1973.18,1953,,False
elitismo,threshold,64,2,0.04233384132385254,1984,1972.8,1957,,False
elitismo,threshold,64,3,0.031000137329101562,1985,1973.19,1955,,False
elitismo,threshold,64,4,0.0315396785736084,1987,1974.51,1961,,False
elitismo,threshold,64,5,0.03258705139160156,1992,1973.6,1955,,False
elitismo,threshold,64,6,0.03135037422180176,1987,1972.86,1954,,False
elitismo,threshold,64,7,0.03304743766784668,1988,1973.83,1958,,False
elitismo,threshold,64,8,0.035149574279785156,1990,1973.56,1949,,False
elitismo,threshold,64,9,0.03608512878417969,1991,1973.43,1954,,False
