component,variant,n,seed,tempo,max_fitness,mean_fitness,min_fitness,gens_to_solve,solved
mutacao,swap,8,0,0.005192756652832031,28,25.42,19,6,True
mutacao,swap,8,1,0.00500035285949707,28,24.95,20,5,True
mutacao,swap,8,2,0.005216360092163086,28,24.54,20,4,True
mutacao,swap,8,3,0.006472110748291016,28,24.93,20,4,True
mutacao,swap,8,4,0.006997346878051758,28,25.23,19,6,True
mutacao,swap,8,5,0.0,28,23.12,17,0,True
mutacao,swap,8,6,0.0009992122650146484,28,23.26,16,0,True
mutacao,swap,8,7,0.0050013065338134766,28,25.25,21,4,True
mutacao,swap,8,8,0.004997968673706055,28,25.17,18,5,True
mutacao,swap,8,9,0.0020029544830322266,28,24.05,14,1,True
mutacao,swap,16,0,0.09999799728393555,120,118.83,115,43,True
mutacao,swap,16,1,1.2010166645050049,119,118.81,115,,False
mutacao,swap,16,2,0.08819103240966797,120,118.77,116,32,True
mutacao,swap,16,3,0.07697772979736328,120,118.74,115,32,True
mutacao,swap,16,4,0.367828369140625,120,118.77,114,139,True
mutacao,swap,16,5,1.3108043670654297,119,118.72,114,,False
mutacao,swap,16,6,0.05616450309753418,120,118.68,116,22,True
mutacao,swap,16,7,0.025410175323486328,120,114.22,108,7,True
mutacao,swap,16,8,1.2208318710327148,119,118.68,115,,False
mutacao,swap,16,9,1.1382408142089844,119,118.74,114,,False
mutacao,swap,32,0,3.949017286300659,495,494.69,491,,False
mutacao,swap,32,1,3.7044968605041504,495,494.76,491,,False
mutacao,swap,32,2,3.6690638065338135,495,494.58,483,,False
mutacao,swap,32,3,3.5450644493103027,495,494.74,491,,False
mutacao,swap,32,4,1.0543572902679443,496,493.82,490,143,True
mutacao,swap,32,5,1.1720144748687744,496,494.89,492,154,True
mutacao,swap,32,6,3.5306146144866943,494,493.79,490,,False
mutacao,swap,32,7,3.865870952606201,494,493.53,488,,False
mutacao,swap,32,8,3.532576560974121,495,494.53,490,,False
mutacao,swap,32,9,3.6443772315979004,495,494.87,491,,False
mutacao,swap,64,0,13.677705764770508,2014,2013.78,2010,,False
mutacao,swap,64,1,13.884519338607788,2013,2012.72,2009,,False
mutacao,swap,64,2,13.597205877304077,2014,2013.94,2012,,False
mutacao,swap,64,3,13.920148372650146,2014,2013.59,2010,,False
mutacao,swap,64,4,13.25036096572876,2015,2014.71,2011,,False
mutacao,swap,64,5,13.982181787490845,2014,2013.35,1996,,False
mutacao,swap,64,6,13.54080605506897,2014,2013.64,2010,,False
mutacao,swap,64,7,13.697012901306152,2015,2014.8,2011,,False
mutacao,swap,64,8,13.780030250549316,2015,2014.78,2011,,False
mutacao,swap,64,9,13.982026100158691,2014,2013.48,2005,,False
mutacao,deslocamento,8,0,0.0069997310638427734,28,25.76,21,7,True
mutacao,deslocamento,8,1,0.007135868072509766,28,25.52,20,7,True
mutacao,deslocamento,8,2,0.003999948501586914,28,24.59,20,4,True
mutacao,deslocamento,8,3,0.003000020980834961,28,24.75,20,3,True
mutacao,deslocamento,8,4,0.006159782409667969,28,25.21,18,6,True
mutacao,deslocamento,8,5,0.0009999275207519531,28,23.12,17,0,True
mutacao,deslocamento,8,6,0.0009999275207519531,28,23.26,16,0,True
mutacao,deslocamento,8,7,0.004000425338745117,28,24.93,21,4,True
mutacao,deslocamento,8,8,0.004999876022338867,28,25.32,19,5,True
